Grafico_Configuracao_do_robo
Time (Seconds),X (Meters),Y (Meters)
114.300003,0.246984,1.218330
114.350006,0.239599,1.219429
114.400002,0.231888,1.220264
114.450005,0.224695,1.221096
114.500000,0.217436,1.221912
114.550003,0.210304,1.222708
114.600006,0.202842,1.223240
114.650002,0.195291,1.223646
114.700005,0.188036,1.224036
114.750000,0.180811,1.224347
114.800003,0.173603,1.224643
114.850006,0.166204,1.224776
114.900002,0.159035,1.224866
114.950005,0.151616,1.224812
115.000000,0.144077,1.224586
115.050003,0.136663,1.224278
115.100006,0.129350,1.223859
115.150002,0.122041,1.223386
115.200005,0.114624,1.222696
115.250000,0.107615,1.222217
115.300003,0.100583,1.221639
115.350006,0.093265,1.220725
115.400002,0.085972,1.219847
115.450005,0.078626,1.218738
115.500000,0.071827,1.217857
115.550003,0.064429,1.216606
115.600006,0.057060,1.215160
115.650002,0.049696,1.213643
115.700005,0.042318,1.212033
115.750000,0.035277,1.210518
115.800003,0.028039,1.208782
115.850006,0.021228,1.207170
115.900002,0.013997,1.205147
115.950005,0.007147,1.203263
116.000000,0.000307,1.201454
116.050003,-0.006870,1.199199
116.100006,-0.013904,1.196854
116.150002,-0.020711,1.194758
116.200005,-0.027640,1.192278
116.250000,-0.034698,1.189609
116.300003,-0.041384,1.187200
116.350006,-0.048310,1.184558
116.400002,-0.054944,1.181863
116.450005,-0.061621,1.179131
116.500000,-0.068601,1.176056
116.550003,-0.075414,1.172897
116.600006,-0.082225,1.169606
116.650002,-0.088636,1.166660
116.700005,-0.095187,1.163501
116.750000,-0.101910,1.159938
116.800003,-0.108170,1.156739
116.850006,-0.114703,1.153160
116.900002,-0.121219,1.149417
116.950005,-0.127538,1.145692
117.000000,-0.133890,1.141838
117.050003,-0.140168,1.137889
117.100006,-0.146361,1.133986
117.150002,-0.152550,1.129755
117.200005,-0.158311,1.126111
117.250000,-0.164215,1.122157
117.300003,-0.170299,1.117682
117.350006,-0.176235,1.113383
117.400002,-0.182028,1.109085
117.450005,-0.187954,1.104509
117.500000,-0.193749,1.099909
117.550003,-0.199469,1.095164
117.600006,-0.205246,1.090363
117.650002,-0.210864,1.085545
117.700005,-0.216316,1.080855
117.750000,-0.221732,1.075980
117.800003,-0.227220,1.070802
117.850006,-0.232688,1.065573
117.900002,-0.238073,1.060369
117.950005,-0.243275,1.055258
118.000000,-0.248376,1.050276
118.050003,-0.253516,1.045175
118.100006,-0.258624,1.039705
118.150002,-0.263621,1.034107
118.200005,-0.268483,1.028609
118.250000,-0.273397,1.022935
118.300003,-0.278187,1.017415
118.350006,-0.282955,1.011807
118.400002,-0.287671,1.005925
118.450005,-0.292240,1.000378
118.500000,-0.296834,0.994380
118.550003,-0.301278,0.988491
118.600006,-0.305612,0.982419
118.650002,-0.309935,0.976346
118.700005,-0.314147,0.970236
118.750000,-0.318195,0.964617
118.800003,-0.322311,0.958291
118.850006,-0.326351,0.952198
118.900002,-0.330318,0.945967
118.950005,-0.334196,0.939613
119.000000,-0.338001,0.933529
119.050003,-0.341717,0.927151
119.100006,-0.345381,0.920601
119.150002,-0.348900,0.913966
