Grafico_Espaco_de_trabalho
Time (Seconds),X (Meters),Y (Meters),Z (Meters)
106.450005,0.715400,0.388752,0.099896
106.500000,0.718428,0.395578,0.099877
106.550003,0.721453,0.402041,0.099894
106.600006,0.724312,0.408749,0.099890
106.650002,0.727123,0.415445,0.099888
106.700005,0.729798,0.422307,0.099883
106.750000,0.732416,0.429377,0.099897
106.800003,0.734928,0.436297,0.099891
106.850006,0.737409,0.442881,0.099896
106.900002,0.739787,0.450197,0.099898
106.950005,0.741996,0.457161,0.099889
107.000000,0.744231,0.463856,0.099891
107.050003,0.746371,0.471005,0.099894
107.100006,0.748423,0.478224,0.099897
107.150002,0.750410,0.485212,0.099892
107.200005,0.752289,0.492328,0.099882
107.250000,0.754078,0.499102,0.099884
107.300003,0.755821,0.506105,0.099895
107.350006,0.757400,0.513470,0.099898
107.400002,0.758881,0.520637,0.099891
107.450005,0.760373,0.527760,0.099893
107.500000,0.761754,0.535083,0.099887
107.550003,0.762968,0.542416,0.099884
107.600006,0.764238,0.549346,0.099890
107.650002,0.765310,0.556762,0.099888
107.700005,0.766362,0.564044,0.099886
107.750000,0.767409,0.571019,0.099889
107.800003,0.768135,0.578392,0.099879
107.850006,0.769131,0.584849,0.099889
107.900002,0.769757,0.592212,0.099884
107.950005,0.770380,0.599530,0.099888
